siteID,plotID,plotType,coarseRootNPercent,fineRootNPercent,litterNPercent,taxonID,foliarNPercent,horizon,soilNPercent
BART,BART_032,tower,0.4,0.7666666666666666,0.5,NA,NA,NA,NA
BART,BART_033,tower,0.5,1,0.55,NA,NA,NA,NA
BART,BART_034,tower,0.35,0.8166666666666667,0.5,NA,NA,NA,NA
BART,BART_036,tower,0.55,0.8916666666666667,0.55,NA,NA,NA,NA
BART,BART_037,tower,0.45,0.8,0.5333333333333333,NA,NA,NA,NA
BART,BART_039,tower,0.35,0.75,0.45,NA,NA,NA,NA
BART,BART_040,tower,0.35,0.8,0.6,NA,NA,NA,NA
BART,BART_041,tower,0.45,0.8500000000000001,0.55,NA,NA,NA,NA
BART,BART_042,tower,0.5,0.95,0.6,NA,NA,NA,NA
BART,BART_044,tower,0.4,0.8083333333333333,0.5,NA,NA,NA,NA
BART,BART_046,tower,0.35,0.8166666666666667,0.6,NA,NA,NA,NA
BART,BART_047,tower,0.35,0.8166666666666667,0.55,NA,NA,NA,NA
BART,BART_050,tower,0.35,0.8,0.6,NA,NA,NA,NA
BART,BART_051,tower,0.35,0.7166666666666666,0.5,NA,NA,NA,NA
BART,BART_070,tower,0.4,0.8333333333333333,NA,NA,NA,NA,NA
BART,BART_071,tower,0.30000000000000004,0.7666666666666667,0.43333333333333335,NA,NA,NA,NA
BART,BART_072,tower,0.45,0.95,0.55,NA,NA,NA,NA
BART,BART_073,tower,0.3,0.7666666666666666,0.45,NA,NA,NA,NA
BART,BART_074,tower,0.32499999999999996,0.875,0.55,NA,NA,NA,NA
BART,BART_075,tower,0.3,0.9333333333333333,0.6,NA,NA,NA,NA
DEJU,DEJU_045,tower,0.585,0.8683333333333334,NA,PIMA,0.78,M,0.10333333333333333
DEJU,DEJU_045,tower,0.585,0.8683333333333334,NA,PIMA,0.78,O,0.47333333333333333
DEJU,DEJU_046,tower,0.415,0.75,0.37,PIMA,0.6266666666666667,M,0.18333333333333332
DEJU,DEJU_046,tower,0.415,0.75,0.37,PIMA,0.6266666666666667,O,0.6133333333333333
DEJU,DEJU_047,tower,0.41500000000000004,0.8741666666666666,0.515,PIMA,0.7,M,0.17666666666666667
DEJU,DEJU_047,tower,0.41500000000000004,0.8741666666666666,0.515,PIMA,0.7,O,0.9933333333333334
DEJU,DEJU_047,tower,0.41500000000000004,0.8741666666666666,0.515,POTR5,2.52,M,0.17666666666666667
DEJU,DEJU_047,tower,0.41500000000000004,0.8741666666666666,0.515,POTR5,2.52,O,0.9933333333333334
DEJU,DEJU_048,tower,0.42999999999999994,0.6975,0.27,PIMA,0.6975,M,0.16666666666666666
DEJU,DEJU_048,tower,0.42999999999999994,0.6975,0.27,PIMA,0.6975,O,0.39
DEJU,DEJU_049,tower,0.5599999999999999,0.7983333333333333,0.26,NA,NA,NA,NA
DEJU,DEJU_050,tower,0.455,0.8183333333333334,NA,NA,NA,NA,NA
DEJU,DEJU_051,tower,0.32,0.7683333333333333,0.475,NA,NA,NA,NA
DEJU,DEJU_052,tower,0.6200000000000001,0.9066666666666667,NA,NA,NA,NA,NA
DEJU,DEJU_053,tower,0.395,0.7533333333333334,0.32,NA,NA,NA,NA
DEJU,DEJU_054,tower,0.575,0.8316666666666667,NA,NA,NA,NA,NA
DEJU,DEJU_055,tower,0.385,0.7766666666666666,NA,NA,NA,NA,NA
DEJU,DEJU_056,tower,0.4225,0.685,0.29,NA,NA,NA,NA
DEJU,DEJU_057,tower,0.675,0.8766666666666667,NA,NA,NA,NA,NA
DEJU,DEJU_058,tower,0.33,0.775,0.28,NA,NA,NA,NA
DEJU,DEJU_059,tower,0.385,0.6675,0.25,NA,NA,NA,NA
DEJU,DEJU_060,tower,0.33499999999999996,0.7925,0.3,NA,NA,NA,NA
DEJU,DEJU_061,tower,0.32999999999999996,0.7166666666666666,0.29,NA,NA,NA,NA
DEJU,DEJU_062,tower,0.395,0.6633333333333333,0.27,NA,NA,NA,NA
DEJU,DEJU_063,tower,0.31,0.7966666666666666,0.28500000000000003,NA,NA,NA,NA
DEJU,DEJU_064,tower,0.405,0.7783333333333333,0.31,NA,NA,NA,NA
DSNY,DSNY_041,tower,1.01,0.7433333333333333,NA,NA,1.01,M,0.05333333333333334
DSNY,DSNY_042,tower,0.35,0.6566666666666667,NA,ILGL,0.87,M,0.11333333333333333
DSNY,DSNY_042,tower,0.35,0.6566666666666667,NA,MOCE2,1.83,M,0.11333333333333333
DSNY,DSNY_042,tower,0.35,0.6566666666666667,NA,SERE2,1.06,M,0.11333333333333333
DSNY,DSNY_042,tower,0.35,0.6566666666666667,NA,NA,0.93,M,0.11333333333333333
DSNY,DSNY_043,tower,NaN,0.63,NA,NA,1.2850000000000001,M,0.043333333333333335
DSNY,DSNY_044,tower,NaN,0.635,NA,NA,0.6,M,0.07
DSNY,DSNY_045,tower,0.43,0.6533333333333333,NA,NA,NA,NA,NA
DSNY,DSNY_046,tower,NaN,0.5333333333333333,NA,NA,NA,NA,NA
DSNY,DSNY_047,tower,NaN,0.52,NA,NA,NA,NA,NA
DSNY,DSNY_048,tower,NaN,0.82,NA,NA,NA,NA,NA
DSNY,DSNY_049,tower,NaN,0.6066666666666667,NA,NA,NA,NA,NA
DSNY,DSNY_050,tower,0.64,0.54,NA,NA,NA,NA,NA
DSNY,DSNY_051,tower,0.97,0.6433333333333333,NA,NA,NA,NA,NA
DSNY,DSNY_052,tower,NaN,0.685,NA,NA,NA,NA,NA
DSNY,DSNY_053,tower,NaN,0.59,NA,NA,NA,NA,NA
DSNY,DSNY_054,tower,NaN,0.445,NA,NA,NA,NA,NA
DSNY,DSNY_055,tower,NaN,0.5133333333333333,NA,NA,NA,NA,NA
DSNY,DSNY_056,tower,0.19,0.43333333333333335,NA,NA,NA,NA,NA
DSNY,DSNY_057,tower,NaN,0.54,NA,NA,NA,NA,NA
DSNY,DSNY_058,tower,NaN,0.6,NA,NA,NA,NA,NA
DSNY,DSNY_059,tower,NaN,0.7050000000000001,NA,NA,NA,NA,NA
DSNY,DSNY_060,tower,NaN,0.9866666666666667,NA,NA,NA,NA,NA
DSNY,DSNY_061,tower,NaN,0.7066666666666667,NA,NA,NA,NA,NA
DSNY,DSNY_062,tower,0.24,0.6116666666666667,NA,NA,NA,NA,NA
DSNY,DSNY_063,tower,0.51,0.8833333333333333,NA,NA,NA,NA,NA
DSNY,DSNY_064,tower,NaN,0.925,NA,NA,NA,NA,NA
DSNY,DSNY_065,tower,0.61,0.9433333333333334,NA,NA,NA,NA,NA
DSNY,DSNY_066,tower,1.13,1.1566666666666667,NA,NA,NA,NA,NA
DSNY,DSNY_067,tower,NaN,0.39666666666666667,NA,NA,NA,NA,NA
DSNY,DSNY_068,tower,NaN,0.4066666666666667,NA,NA,NA,NA,NA
DSNY,DSNY_069,tower,0.23,0.5133333333333333,NA,NA,NA,NA,NA
DSNY,DSNY_070,tower,1.05,0.52,NA,NA,NA,NA,NA
GUAN,GUAN_043,tower,0.615,1.165,1.19,GUOF,1.99,M,0.7216666666666667
GUAN,GUAN_043,tower,0.615,1.165,1.19,PIAL3,3.81,M,0.7216666666666667
GUAN,GUAN_043,tower,0.615,1.165,1.19,SWMA2,1.54,M,0.7216666666666667
GUAN,GUAN_044,tower,0.62,1.3333333333333333,1.38,NA,NA,NA,NA
GUAN,GUAN_045,tower,0.655,1.27,1.15,NA,NA,NA,NA
GUAN,GUAN_047,tower,0.875,1.275,1.18,NA,NA,NA,NA
GUAN,GUAN_049,tower,1.1600000000000001,1.9733333333333334,1.6,BUBU,1.72,M,0.962
GUAN,GUAN_049,tower,1.1600000000000001,1.9733333333333334,1.6,BUSI,1.865,M,0.962
GUAN,GUAN_049,tower,1.1600000000000001,1.9733333333333334,1.6,PIAL3,2.3,M,0.962
GUAN,GUAN_050,tower,0.76,1.33,0.87,NA,NA,NA,NA
GUAN,GUAN_051,tower,1.11,1.5333333333333332,1.4,NA,NA,NA,NA
GUAN,GUAN_052,tower,1.145,1.6400000000000001,0.91,NA,NA,NA,NA
GUAN,GUAN_053,tower,0.815,1.4833333333333334,0.98,NA,NA,NA,NA
GUAN,GUAN_054,tower,1.725,2.3233333333333333,1.6349999999999998,NA,NA,NA,NA
GUAN,GUAN_055,tower,0.845,1.7833333333333332,1.54,NA,NA,NA,NA
GUAN,GUAN_056,tower,0.43499999999999994,0.9916666666666666,0.75,NA,NA,NA,NA
GUAN,GUAN_057,tower,0.91,1.4666666666666666,1.19,NA,NA,NA,NA
GUAN,GUAN_058,tower,1.575,2.135,1.46,NA,NA,NA,NA
GUAN,GUAN_059,tower,1.31,2.1766666666666667,1.25,NA,NA,NA,NA
GUAN,GUAN_060,tower,0.92,1.5033333333333334,0.96,NA,NA,NA,NA
GUAN,GUAN_061,tower,1,1.4266666666666667,0.98,NA,NA,NA,NA
HARV,HARV_033,tower,0.4,0.7949999999999999,0.76,ACRU,1.58,M,0.17666666666666667
HARV,HARV_033,tower,0.4,0.7949999999999999,0.76,ACRU,1.58,O,1.2933333333333332
HARV,HARV_033,tower,0.4,0.7949999999999999,0.76,FRAM2,1.74,M,0.17666666666666667
HARV,HARV_033,tower,0.4,0.7949999999999999,0.76,FRAM2,1.74,O,1.2933333333333332
HARV,HARV_033,tower,0.4,0.7949999999999999,0.76,PIAB,0.97,M,0.17666666666666667
HARV,HARV_033,tower,0.4,0.7949999999999999,0.76,PIAB,0.97,O,1.2933333333333332
HARV,HARV_034,tower,0.41000000000000003,0.7841666666666667,0.6950000000000001,PINUS,1.0733333333333335,M,0.19666666666666668
HARV,HARV_034,tower,0.41000000000000003,0.7841666666666667,0.6950000000000001,PINUS,1.0733333333333335,O,1.35
HARV,HARV_035,tower,0.395,0.8108333333333333,0.76,ACRU,1.65,M,0.20333333333333334
HARV,HARV_035,tower,0.395,0.8108333333333333,0.76,ACRU,1.65,O,1.1099999999999999
HARV,HARV_035,tower,0.395,0.8108333333333333,0.76,BELE,1.73,M,0.20333333333333334
HARV,HARV_035,tower,0.395,0.8108333333333333,0.76,BELE,1.73,O,1.1099999999999999
HARV,HARV_035,tower,0.395,0.8108333333333333,0.76,TSCA,1.19,M,0.20333333333333334
HARV,HARV_035,tower,0.395,0.8108333333333333,0.76,TSCA,1.19,O,1.1099999999999999
HARV,HARV_036,tower,0.5700000000000001,0.9083333333333333,0.945,NA,NA,NA,NA
HARV,HARV_037,tower,0.345,1.0133333333333332,0.6399999999999999,ACRU,1.5,M,0.28
HARV,HARV_037,tower,0.345,1.0133333333333332,0.6399999999999999,ACRU,1.5,O,1.1766666666666667
HARV,HARV_037,tower,0.345,1.0133333333333332,0.6399999999999999,TSCA,1.27,M,0.28
HARV,HARV_037,tower,0.345,1.0133333333333332,0.6399999999999999,TSCA,1.27,O,1.1766666666666667
HARV,HARV_038,tower,0.3175,0.885,0.63,NA,NA,NA,NA
HARV,HARV_039,tower,0.44999999999999996,0.7749999999999999,0.77,NA,NA,NA,NA
HARV,HARV_040,tower,0.405,0.7050000000000001,0.505,NA,NA,NA,NA
HARV,HARV_041,tower,0.37,0.7708333333333334,0.6266666666666667,NA,NA,NA,NA
HARV,HARV_042,tower,0.435,0.6658333333333334,0.875,NA,NA,NA,NA
HARV,HARV_043,tower,0.41500000000000004,0.8283333333333334,0.67,NA,NA,NA,NA
HARV,HARV_044,tower,0.395,0.7983333333333333,0.615,NA,NA,NA,NA
HARV,HARV_045,tower,0.38,0.7908333333333333,0.81,NA,NA,NA,NA
HARV,HARV_046,tower,0.3825,0.7533333333333334,0.605,NA,NA,NA,NA
HARV,HARV_047,tower,0.39,0.78,0.78,NA,NA,NA,NA
HARV,HARV_048,tower,0.38,0.8216666666666667,0.66,NA,NA,NA,NA
HARV,HARV_049,tower,0.42500000000000004,0.8383333333333334,0.565,NA,NA,NA,NA
HARV,HARV_050,tower,0.575,0.9241666666666667,0.7050000000000001,NA,NA,NA,NA
HARV,HARV_051,tower,0.365,0.8150000000000001,0.88,NA,NA,NA,NA
HARV,HARV_052,tower,0.385,0.8366666666666667,0.7166666666666667,NA,NA,NA,NA
JORN,JORN_042,tower,NaN,1.1766666666666667,NA,NA,1.19,M,0.026666666666666665
JORN,JORN_043,tower,NaN,0.755,NA,NA,NA,NA,NA
JORN,JORN_044,tower,NaN,0.7566666666666667,NA,NA,0.83,M,0.03
JORN,JORN_045,tower,1.555,0.63,NA,NA,0.95,M,0.03
JORN,JORN_046,tower,NaN,0.8600000000000001,NA,NA,NA,NA,NA
JORN,JORN_047,tower,NaN,0.6575,NA,NA,0.88,M,0.03333333333333333
JORN,JORN_048,tower,NaN,1.48,NA,NA,NA,NA,NA
JORN,JORN_049,tower,NaN,0.93,NA,NA,NA,NA,NA
JORN,JORN_050,tower,NaN,0.8999999999999999,NA,NA,NA,NA,NA
JORN,JORN_051,tower,NaN,0.99,NA,NA,NA,NA,NA
JORN,JORN_052,tower,NaN,0.8233333333333334,NA,NA,NA,NA,NA
JORN,JORN_053,tower,NaN,1.1833333333333333,NA,NA,NA,NA,NA
JORN,JORN_054,tower,NaN,0.79,NA,NA,NA,NA,NA
JORN,JORN_055,tower,NaN,0.65,NA,NA,NA,NA,NA
JORN,JORN_056,tower,NaN,0.78,NA,NA,NA,NA,NA
JORN,JORN_057,tower,NaN,0.75,NA,NA,NA,NA,NA
JORN,JORN_058,tower,NaN,0.9866666666666667,NA,NA,NA,NA,NA
JORN,JORN_059,tower,0.59,0.675,NA,NA,NA,NA,NA
JORN,JORN_060,tower,NaN,0.805,NA,NA,NA,NA,NA
JORN,JORN_061,tower,NaN,0.645,NA,NA,NA,NA,NA
JORN,JORN_062,tower,NaN,0.8,NA,NA,NA,NA,NA
JORN,JORN_063,tower,NaN,0.5066666666666667,NA,NA,NA,NA,NA
JORN,JORN_064,tower,2.01,1.1733333333333333,NA,NA,NA,NA,NA
JORN,JORN_065,tower,1.97,1.135,NA,NA,NA,NA,NA
JORN,JORN_066,tower,2.25,1.245,NA,NA,NA,NA,NA
JORN,JORN_067,tower,NaN,1,NA,NA,NA,NA,NA
JORN,JORN_068,tower,NaN,0.79,NA,NA,NA,NA,NA
JORN,JORN_069,tower,NaN,1.005,NA,NA,NA,NA,NA
JORN,JORN_070,tower,NaN,0.61,NA,NA,NA,NA,NA
JORN,JORN_071,tower,NaN,0.805,NA,NA,NA,NA,NA
KONZ,KONZ_042,tower,1,0.6733333333333333,NA,NA,0.97,M,0.3433333333333333
KONZ,KONZ_043,tower,0.85,0.6133333333333334,NA,NA,1.88,M,0.35
KONZ,KONZ_044,tower,0.21,0.53,NA,NA,NA,NA,NA
KONZ,KONZ_045,tower,0.36,0.6716666666666666,NA,NA,1.6,M,0.39
KONZ,KONZ_046,tower,0.57,0.9933333333333333,NA,NA,1.53,NA,NA
KONZ,KONZ_047,tower,0.7,0.5933333333333334,NA,NA,NA,NA,NA
KONZ,KONZ_048,tower,NaN,0.5666666666666667,NA,NA,NA,NA,NA
KONZ,KONZ_049,tower,NaN,0.6366666666666666,NA,NA,NA,NA,NA
KONZ,KONZ_050,tower,NaN,0.5366666666666667,NA,NA,NA,NA,NA
KONZ,KONZ_051,tower,0.42,0.42,NA,NA,NA,NA,NA
KONZ,KONZ_052,tower,NaN,0.5066666666666667,NA,NA,NA,NA,NA
KONZ,KONZ_053,tower,1.69,0.8033333333333332,NA,NA,NA,NA,NA
KONZ,KONZ_054,tower,0.27,0.5666666666666667,NA,NA,NA,NA,NA
KONZ,KONZ_055,tower,NaN,0.75,NA,NA,NA,NA,NA
KONZ,KONZ_056,tower,NaN,0.6033333333333334,NA,NA,NA,NA,NA
KONZ,KONZ_057,tower,1.65,0.6666666666666666,NA,NA,NA,NA,NA
KONZ,KONZ_058,tower,0.59,0.7933333333333333,NA,NA,NA,NA,NA
KONZ,KONZ_059,tower,0.59,1.07,NA,NA,NA,NA,NA
KONZ,KONZ_060,tower,0.59,0.5266666666666666,NA,NA,NA,NA,NA
KONZ,KONZ_061,tower,1.94,0.85,NA,NA,NA,NA,NA
KONZ,KONZ_062,tower,1.23,0.7633333333333333,NA,NA,NA,NA,NA
KONZ,KONZ_063,tower,0.49,1.22,NA,NA,NA,NA,NA
KONZ,KONZ_064,tower,0.87,1.1066666666666667,NA,NA,NA,NA,NA
KONZ,KONZ_065,tower,0.61,0.54,NA,NA,NA,NA,NA
KONZ,KONZ_066,tower,1.15,0.7466666666666666,NA,NA,NA,NA,NA
KONZ,KONZ_067,tower,0.5,0.6666666666666666,NA,NA,NA,NA,NA
KONZ,KONZ_068,tower,0.53,0.5900000000000001,NA,NA,NA,NA,NA
KONZ,KONZ_069,tower,1.705,0.5266666666666666,NA,NA,NA,NA,NA
KONZ,KONZ_070,tower,0.8,0.53,NA,NA,NA,NA,NA
KONZ,KONZ_071,tower,0.42,0.44666666666666666,NA,NA,NA,NA,NA
LENO,LENO_061,tower,0.5,0.9466666666666667,0.87,CACA18,1.8,M,0.19
LENO,LENO_061,tower,0.5,0.9466666666666667,0.87,CELA,2.91,M,0.19
LENO,LENO_061,tower,0.5,0.9466666666666667,0.87,ULAM,2.18,M,0.19
LENO,LENO_062,tower,0.44999999999999996,0.7949999999999999,1.115,FRPE,2.35,M,0.13333333333333333
LENO,LENO_062,tower,0.44999999999999996,0.7949999999999999,1.115,QUNI,2.15,M,0.13333333333333333
LENO,LENO_062,tower,0.44999999999999996,0.7949999999999999,1.115,ULAM,2.57,M,0.13333333333333333
LENO,LENO_063,tower,0.45,0.8916666666666666,1.1,CACA18,2,M,0.13333333333333333
LENO,LENO_063,tower,0.45,0.8916666666666666,1.1,LIST2,2.0949999999999998,M,0.13333333333333333
LENO,LENO_064,tower,0.39249999999999996,0.6833333333333333,0.7949999999999999,LIST2,2.44,M,0.09
LENO,LENO_064,tower,0.39249999999999996,0.6833333333333333,0.7949999999999999,QUNI,1.9249999999999998,M,0.09
LENO,LENO_064,tower,0.39249999999999996,0.6833333333333333,0.7949999999999999,ULAM,2.65,M,0.09
LENO,LENO_065,tower,0.635,0.8583333333333334,1.25,NA,NA,NA,NA
LENO,LENO_066,tower,0.435,0.7383333333333333,0.755,NA,NA,NA,NA
LENO,LENO_067,tower,0.565,0.8516666666666666,1.01,NA,NA,NA,NA
LENO,LENO_068,tower,0.825,1.01,0.7899999999999999,NA,NA,NA,NA
LENO,LENO_069,tower,0.745,1.0266666666666666,1.29,NA,NA,NA,NA
LENO,LENO_070,tower,0.49,0.8466666666666667,0.9,NA,NA,NA,NA
MLBS,MLBS_061,tower,0.63,0.925,1.26,ACRU,1.95,M,0.11
MLBS,MLBS_061,tower,0.63,0.925,1.26,ACRU,1.95,O,0.8233333333333334
MLBS,MLBS_061,tower,0.63,0.925,1.26,AMLA,2.18,M,0.11
MLBS,MLBS_061,tower,0.63,0.925,1.26,AMLA,2.18,O,0.8233333333333334
MLBS,MLBS_061,tower,0.63,0.925,1.26,QUAL,2.33,M,0.11
MLBS,MLBS_061,tower,0.63,0.925,1.26,QUAL,2.33,O,0.8233333333333334
MLBS,MLBS_062,tower,0.6,0.77,1.19,NA,NA,NA,NA
MLBS,MLBS_063,tower,0.565,1.0433333333333332,1.35,AMLA,2.43,M,0.11666666666666667
MLBS,MLBS_063,tower,0.565,1.0433333333333332,1.35,AMLA,2.43,O,0.5566666666666666
MLBS,MLBS_063,tower,0.565,1.0433333333333332,1.35,QUAL,2.78,M,0.11666666666666667
MLBS,MLBS_063,tower,0.565,1.0433333333333332,1.35,QUAL,2.78,O,0.5566666666666666
MLBS,MLBS_063,tower,0.565,1.0433333333333332,1.35,QURU,2.26,M,0.11666666666666667
MLBS,MLBS_063,tower,0.565,1.0433333333333332,1.35,QURU,2.26,O,0.5566666666666666
MLBS,MLBS_064,tower,0.69,1.0616666666666665,1.3,ACRU,1.99,M,0.10333333333333333
MLBS,MLBS_064,tower,0.69,1.0616666666666665,1.3,ACRU,1.99,O,0.4366666666666667
MLBS,MLBS_064,tower,0.69,1.0616666666666665,1.3,QUAL,2.36,M,0.10333333333333333
MLBS,MLBS_064,tower,0.69,1.0616666666666665,1.3,QUAL,2.36,O,0.4366666666666667
MLBS,MLBS_064,tower,0.69,1.0616666666666665,1.3,QURU,2.47,M,0.10333333333333333
MLBS,MLBS_064,tower,0.69,1.0616666666666665,1.3,QURU,2.47,O,0.4366666666666667
MLBS,MLBS_065,tower,0.605,0.9433333333333334,1.37,NA,NA,NA,NA
MLBS,MLBS_066,tower,0.73,0.9025,1.48,NA,NA,NA,NA
MLBS,MLBS_067,tower,0.525,0.86,1.16,ACRU,1.64,M,0.16333333333333333
MLBS,MLBS_067,tower,0.525,0.86,1.16,ACRU,1.64,O,0.9366666666666666
MLBS,MLBS_067,tower,0.525,0.86,1.16,QUAL,2.63,M,0.16333333333333333
MLBS,MLBS_067,tower,0.525,0.86,1.16,QUAL,2.63,O,0.9366666666666666
MLBS,MLBS_067,tower,0.525,0.86,1.16,QURU,1.95,M,0.16333333333333333
MLBS,MLBS_067,tower,0.525,0.86,1.16,QURU,1.95,O,0.9366666666666666
MLBS,MLBS_068,tower,0.405,0.7616666666666667,1.41,NA,NA,NA,NA
MLBS,MLBS_069,tower,0.525,0.8291666666666666,1.55,NA,NA,NA,NA
MLBS,MLBS_070,tower,0.565,0.8266666666666667,1.28,NA,NA,NA,NA
MLBS,MLBS_071,tower,0.44999999999999996,0.7533333333333334,0.8600000000000001,NA,NA,NA,NA
MLBS,MLBS_072,tower,0.55,0.8783333333333333,1.42,NA,NA,NA,NA
MLBS,MLBS_073,tower,0.53,0.8691666666666666,1.07,NA,NA,NA,NA
MLBS,MLBS_074,tower,0.73,0.8783333333333334,1.1,NA,NA,NA,NA
MLBS,MLBS_075,tower,0.355,0.6216666666666667,1.415,NA,NA,NA,NA
MLBS,MLBS_076,tower,0.485,0.7416666666666667,1.55,NA,NA,NA,NA
MOAB,MOAB_044,tower,0.94,0.9666666666666667,NA,NA,1.64,M,0.04
MOAB,MOAB_045,tower,NaN,0.9500000000000001,NA,NA,1.68,M,0.03
MOAB,MOAB_046,tower,1.05,1.24,NA,NA,2.21,M,0.03666666666666667
MOAB,MOAB_047,tower,0.56,0.9333333333333333,NA,NA,1.61,M,0.03333333333333333
MOAB,MOAB_048,tower,1.19,1.3233333333333333,NA,NA,NA,NA,NA
MOAB,MOAB_049,tower,1.61,0.89,NA,NA,NA,NA,NA
MOAB,MOAB_050,tower,0.87,1.0033333333333334,NA,NA,NA,NA,NA
MOAB,MOAB_051,tower,NaN,1.2633333333333334,NA,NA,NA,NA,NA
MOAB,MOAB_052,tower,1.41,1.27,NA,NA,NA,NA,NA
MOAB,MOAB_053,tower,1.83,1.1266666666666667,NA,NA,NA,NA,NA
MOAB,MOAB_054,tower,1.14,1.1333333333333333,NA,NA,NA,NA,NA
MOAB,MOAB_055,tower,1.44,1.13,NA,NA,NA,NA,NA
MOAB,MOAB_056,tower,0.7,0.82,NA,NA,NA,NA,NA
MOAB,MOAB_057,tower,NaN,0.9433333333333334,NA,NA,NA,NA,NA
MOAB,MOAB_058,tower,1.72,0.8633333333333333,NA,NA,NA,NA,NA
MOAB,MOAB_059,tower,1.12,0.9166666666666666,NA,NA,NA,NA,NA
MOAB,MOAB_060,tower,NaN,0.9533333333333334,NA,NA,NA,NA,NA
MOAB,MOAB_061,tower,NaN,0.7833333333333333,NA,NA,NA,NA,NA
MOAB,MOAB_062,tower,1.47,0.8166666666666667,NA,NA,NA,NA,NA
MOAB,MOAB_063,tower,1.37,0.9866666666666667,NA,NA,NA,NA,NA
MOAB,MOAB_064,tower,NaN,1.1600000000000001,NA,NA,NA,NA,NA
MOAB,MOAB_065,tower,NaN,0.72,NA,NA,NA,NA,NA
MOAB,MOAB_066,tower,NaN,1.1133333333333333,NA,NA,NA,NA,NA
MOAB,MOAB_067,tower,NaN,1.105,NA,NA,NA,NA,NA
MOAB,MOAB_068,tower,1.79,1.2766666666666666,NA,NA,NA,NA,NA
MOAB,MOAB_069,tower,NaN,0.9733333333333334,NA,NA,NA,NA,NA
MOAB,MOAB_070,tower,NaN,1.0233333333333334,NA,NA,NA,NA,NA
MOAB,MOAB_071,tower,NaN,1.0766666666666667,NA,NA,NA,NA,NA
MOAB,MOAB_072,tower,NaN,0.97,NA,NA,NA,NA,NA
MOAB,MOAB_073,tower,1.49,0.8899999999999999,NA,NA,NA,NA,NA
