system:index,SiteID,mean,time,source
00000000000000000000_0,HARV,0.4990565,1979.2019,GRIDMET
00000000000000000002_0,HOPB,0.50767833,1979.2019,GRIDMET
00000000000000000001_0,BART,0.44269562,1979.2019,GRIDMET
00000000000000000005_0,SERC,0.75261664,1979.2019,GRIDMET
00000000000000000003_0,SCBI,0.68427014,1979.2019,GRIDMET
00000000000000000004_0,BLAN,0.6953837,1979.2019,GRIDMET
00000000000000000006_0,POSE,0.68427014,1979.2019,GRIDMET
00000000000000000007_0,LEWI,0.6971922,1979.2019,GRIDMET
00000000000000000008_0,OSBS,0.98709863,1979.2019,GRIDMET
00000000000000000009_0,DSNY,1.0490123,1979.2019,GRIDMET
0000000000000000000b_0,BARC,0.9547789,1979.2019,GRIDMET
0000000000000000000c_0,SUGG,0.9547789,1979.2019,GRIDMET
0000000000000000000a_0,JERC,0.94280887,1979.2019,GRIDMET
0000000000000000000d_0,FLNT,0.9433425,1979.2019,GRIDMET
00000000000000000012_0,UNDE,0.37169966,1979.2019,GRIDMET
00000000000000000013_0,STEI,0.41825607,1979.2019,GRIDMET
00000000000000000014_0,TREE,0.4161361,1979.2019,GRIDMET
00000000000000000015_0,CRAM,0.36483133,1979.2019,GRIDMET
00000000000000000016_0,LIRO,0.41386402,1979.2019,GRIDMET
00000000000000000017_0,KONZ,0.82341516,1979.2019,GRIDMET
00000000000000000018_0,KONA,0.8459109,1979.2019,GRIDMET
00000000000000000019_0,UKFS,0.76101184,1979.2019,GRIDMET
0000000000000000001a_0,KING,0.8459109,1979.2019,GRIDMET
0000000000000000001b_0,MCDI,0.803063,1979.2019,GRIDMET
0000000000000000001e_0,MLBS,0.51961255,1979.2019,GRIDMET
0000000000000000001c_0,ORNL,0.73177135,1979.2019,GRIDMET
0000000000000000001d_0,GRSM,0.6086515,1979.2019,GRIDMET
0000000000000000001f_0,WALK,0.7379485,1979.2019,GRIDMET
00000000000000000020_0,LECO,0.6086515,1979.2019,GRIDMET
00000000000000000021_0,TALL,0.86029303,1979.2019,GRIDMET
00000000000000000022_0,DELA,0.8693245,1979.2019,GRIDMET
00000000000000000023_0,LENO,0.9329344,1979.2019,GRIDMET
00000000000000000024_0,MAYF,0.86029303,1979.2019,GRIDMET
00000000000000000025_0,BLWA,0.8693245,1979.2019,GRIDMET
00000000000000000026_0,TOMB,0.9329344,1979.2019,GRIDMET
00000000000000000027_0,WOOD,0.5538504,1979.2019,GRIDMET
00000000000000000028_0,DCFS,0.5501922,1979.2019,GRIDMET
00000000000000000029_0,NOGP,0.61424965,1979.2019,GRIDMET
0000000000000000002a_0,PRPO,0.5460506,1979.2019,GRIDMET
0000000000000000002b_0,PRLA,0.5501922,1979.2019,GRIDMET
0000000000000000002c_0,CPER,0.91638166,1979.2019,GRIDMET
0000000000000000002d_0,STER,0.9184021,1979.2019,GRIDMET
0000000000000000002e_0,RMNP,0.5744545,1979.2019,GRIDMET
0000000000000000002f_0,ARIK,0.9703234,1979.2019,GRIDMET
00000000000000000030_0,CLBJ,1.1232297,1979.2019,GRIDMET
00000000000000000032_0,PRIN,1.1210141,1979.2019,GRIDMET
00000000000000000031_0,OAES,1.14456,1979.2019,GRIDMET
00000000000000000033_0,BLUE,0.98504287,1979.2019,GRIDMET
00000000000000000034_0,YELL,0.59347945,1979.2019,GRIDMET
00000000000000000035_0,BLDE,0.6074416,1979.2019,GRIDMET
00000000000000000037_0,MOAB,1.1212522,1979.2019,GRIDMET
00000000000000000036_0,NIWO,0.44827572,1979.2019,GRIDMET
00000000000000000038_0,COMO,0.536637,1979.2019,GRIDMET
00000000000000000039_0,WLOU,0.52039826,1979.2019,GRIDMET
0000000000000000003a_0,SRER,1.911626,1979.2019,GRIDMET
0000000000000000003c_0,SYCA,2.169667,1979.2019,GRIDMET
0000000000000000003b_0,JORN,1.5482023,1979.2019,GRIDMET
0000000000000000003d_0,ONAQ,1.0355785,1979.2019,GRIDMET
0000000000000000003e_0,REDB,0.96666807,1979.2019,GRIDMET
00000000000000000042_0,MCRA,0.53338116,1979.2019,GRIDMET
0000000000000000003f_0,WREF,0.61612463,1979.2019,GRIDMET
00000000000000000040_0,ABBY,0.49847785,1979.2019,GRIDMET
00000000000000000041_0,MART,0.59255326,1979.2019,GRIDMET
00000000000000000043_0,SJER,1.4022291,1979.2019,GRIDMET
00000000000000000044_0,TEAK,0.7605765,1979.2019,GRIDMET
00000000000000000045_0,SOAP,1.1179645,1979.2019,GRIDMET
00000000000000000046_0,TECR,0.95556796,1979.2019,GRIDMET
00000000000000000047_0,BIGC,1.0342904,1979.2019,GRIDMET